Month,Diesel,Hybrid,Petrol
6/1/21,0.41,0.04,0.54
7/1/21,0.41,0.04,0.55
8/1/21,0.42,0.04,0.54
9/1/21,0.4,0.04,0.55
10/1/21,0.41,0.04,0.54
11/1/21,0.4,0.04,0.55
12/1/21,0.41,0.04,0.54
1/1/22,0.4,0.04,0.56
2/1/22,0.4,0.05,0.56
3/1/22,0.38,0.06,0.57
4/1/22,0.38,0.05,0.57
5/1/22,0.38,0.05,0.56
6/1/22,0.38,0.06,0.56
7/1/22,0.38,0.05,0.56
8/1/22,0.38,0.05,0.57
9/1/22,0.37,0.05,0.57
10/1/22,0.36,0.05,0.58
11/1/22,0.36,0.06,0.58
12/1/22,0.37,0.06,0.57
1/1/23,0.35,0.07,0.58
2/1/23,0.36,0.07,0.57
3/1/23,0.37,0.08,0.56
4/1/23,0.36,0.08,0.56
5/1/23,0.36,0.08,0.56
6/1/23,0.36,0.09,0.56
7/1/23,0.35,0.09,0.56
8/1/23,0.34,0.09,0.57
9/1/23,0.34,0.09,0.57
10/1/23,0.34,0.09,0.57
11/1/23,0.33,0.1,0.57
12/1/23,0.32,0.1,0.58
1/1/24,0.3,0.12,0.58
2/1/24,0.31,0.11,0.58
3/1/24,0.31,0.12,0.57
4/1/24,0.31,0.12,0.57
5/1/24,0.31,0.12,0.57
6/1/24,0.31,0.13,0.57