,quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description
5655231,1989-07-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5655377,1990-07-01,2.0,212005,2.0,0.60000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5655398,1995-05-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5655544,1989-10-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5655878,1989-06-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5656230,1990-09-01,2.0,212005,2.0,0.60000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5656344,1995-11-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5657032,1988-12-01,2.0,212005,2.0,0.81,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658061,1990-11-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658171,2006-12-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658172,1989-04-01,2.0,212005,2.0,0.81999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658351,2006-03-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658429,1990-11-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658646,1989-08-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658781,1996-07-01,2.0,212005,2.0,0.63999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5658999,1993-08-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5659107,1994-04-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660450,1991-05-01,2.0,212005,2.0,0.63999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660769,1989-12-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660838,2005-10-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660921,1991-02-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660923,1989-10-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660928,1988-05-01,2.0,212005,2.0,0.52999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5660988,1995-09-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661171,1989-01-01,2.0,212005,2.0,0.81999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661312,1993-10-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661560,1990-02-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661603,1989-03-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661829,1994-03-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661925,1992-12-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5661954,2003-03-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5662064,1990-01-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5662071,1989-07-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5662423,1989-09-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5662566,2006-11-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5662624,2004-06-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5663275,1991-09-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5663303,1993-04-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664265,1989-12-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664298,1990-11-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664336,1991-02-01,2.0,212005,2.0,0.75999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664338,1991-07-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664582,1991-11-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664583,1991-09-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664677,1990-07-01,2.0,212005,2.0,0.88999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664938,1989-11-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5664963,2003-12-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5665187,1990-08-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5665870,1996-02-01,2.0,212005,2.0,0.62,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666102,1989-10-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666145,1989-01-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666152,1990-06-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666346,1988-11-01,2.0,212005,2.0,0.54000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666548,1992-04-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666552,1991-11-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5666811,1994-01-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5667027,1988-05-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5667515,1988-06-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5667880,1990-10-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5667900,1993-03-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5668021,1988-04-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5668339,1990-08-01,2.0,212005,2.0,0.88999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5668517,1990-12-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5668964,1991-12-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669325,1988-02-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669371,1992-08-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669389,1990-01-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669407,1992-06-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669541,1988-10-01,2.0,212005,2.0,0.54000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669554,1991-08-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669708,1988-03-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5669864,2004-07-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670003,2005-06-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670069,1991-06-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670594,1991-09-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670831,1991-10-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670888,1989-03-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670954,1994-08-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5670965,1990-01-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5671119,2004-11-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5671238,2003-10-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5671348,1990-02-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5671428,1988-06-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5671608,1990-04-01,2.0,212005,2.0,0.83999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5671985,1990-08-01,2.0,212005,2.0,0.56,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672117,1991-06-01,2.0,212005,2.0,0.69999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672500,1990-07-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672574,1989-08-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672585,2003-04-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672588,1990-03-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672599,1988-07-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672710,1989-09-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672785,1995-06-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5672860,1992-05-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673194,1988-04-01,2.0,212005,2.0,0.36000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673305,1991-08-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673341,2005-04-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673544,1990-12-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673553,1995-07-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673758,1990-09-01,2.0,212005,2.0,0.88999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673770,1996-03-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673903,1990-05-01,2.0,212005,2.0,0.85000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5673937,1994-12-01,2.0,212005,2.0,0.51999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5674112,1988-09-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5674462,1989-11-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5674954,1989-11-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5675831,2004-03-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5675967,1989-04-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5675988,1992-11-01,2.0,212005,2.0,0.73000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676110,1991-04-01,2.0,212005,2.0,0.70999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676149,2005-05-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676349,1993-02-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676467,1992-01-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676566,2006-04-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676657,1991-08-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676820,2003-08-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676823,1989-12-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676918,1991-01-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5676958,2006-01-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5677249,1988-05-01,2.0,212005,2.0,0.52999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5677544,1989-03-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5677912,1988-03-01,2.0,212005,2.0,0.52999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5678077,2003-05-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5678242,1988-02-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5678357,1995-01-01,2.0,212005,2.0,0.56999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5678384,1994-10-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5679166,1990-09-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5679246,2005-12-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5679573,1989-08-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5679659,1991-11-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5679760,1992-10-01,2.0,212005,2.0,0.73000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5680001,1988-09-01,2.0,212005,2.0,0.54000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5680198,1989-09-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5680323,1991-07-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5680636,2003-02-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5680784,1991-10-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681079,1990-10-01,2.0,212005,2.0,0.88999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681131,2005-03-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681368,1989-03-01,2.0,212005,2.0,0.81999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681403,1994-09-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681412,1991-03-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681705,2004-02-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681936,1989-05-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5681944,1989-11-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682090,1988-07-01,2.0,212005,2.0,0.51999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682102,1991-06-01,2.0,212005,2.0,0.68000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682425,1991-04-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682497,1988-04-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682546,2006-07-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682552,1994-02-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5682827,2006-10-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5683018,1988-12-01,2.0,212005,2.0,0.54000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5683717,1995-04-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684135,1992-09-01,2.0,212005,2.0,0.74000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684188,2004-05-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684212,2005-11-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684557,1990-03-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684634,2003-06-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684710,1992-03-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684717,2005-07-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5684962,1988-12-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685061,1990-05-01,2.0,212005,2.0,0.83999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685213,2003-11-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685371,1989-05-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685376,1996-04-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685452,2005-01-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685496,1988-04-01,2.0,212005,2.0,0.52999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5685543,1995-12-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5686272,1989-07-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5686471,1992-02-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5686608,1994-11-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5686980,1989-03-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687086,1991-10-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687469,1990-08-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687516,1988-06-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687730,2005-02-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687880,1996-05-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687909,2006-02-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5687951,1993-11-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688177,2003-07-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688341,1991-05-01,2.0,212005,2.0,0.70999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688497,1995-10-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688521,1994-06-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688643,1993-09-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688678,2006-05-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5688910,1989-01-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689125,1989-04-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689382,1994-05-01,2.0,212005,2.0,0.49000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689395,1989-11-01,2.0,212005,2.0,0.62,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689412,1990-04-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689684,1988-07-01,2.0,212005,2.0,0.36000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689706,1996-01-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689904,1989-07-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689935,1991-05-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689936,2003-09-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689943,1995-02-01,2.0,212005,2.0,0.56999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5689952,1991-03-01,2.0,212005,2.0,0.75999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5690251,1995-08-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5690291,1992-07-01,2.0,212005,2.0,0.74000001,,212005,PURE ORANGE JUICE-1 LTR CARTON
5690392,1988-05-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5690882,1990-03-01,2.0,212005,2.0,0.83999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5690921,1988-10-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5690957,1989-06-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691071,1990-12-01,2.0,212005,2.0,0.76999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691373,1993-01-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691484,1989-01-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691692,1991-04-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691803,2004-10-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691923,1988-02-01,2.0,212005,2.0,0.52999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5691969,1988-04-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692046,1993-07-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692103,1989-08-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692221,1990-02-01,2.0,212005,2.0,0.82999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692233,1993-12-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692576,1993-06-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692673,1988-09-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692739,1989-07-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5692986,1989-09-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693278,1988-11-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693351,1991-12-01,2.0,212005,2.0,0.75,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693579,2005-09-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693604,1990-04-01,2.0,212005,2.0,0.72000003,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693605,1993-05-01,2.0,212005,2.0,0.58999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693709,2004-04-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5693811,2004-09-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5694041,1991-07-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5694328,1992-01-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5694455,1989-04-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
5694484,2004-08-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5694850,1990-06-01,2.0,212005,2.0,0.83999997,,212005,PURE ORANGE JUICE-1 LTR CARTON
5695166,2006-06-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5695183,1989-10-01,2.0,212005,2.0,0.67000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5695569,1995-03-01,2.0,212005,2.0,0.56999999,,212005,PURE ORANGE JUICE-1 LTR CARTON
5695587,2004-01-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5696007,2004-12-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5696140,2005-08-01,2.0,212005,2.0,0.79000002,,212005,PURE ORANGE JUICE-1 LTR CARTON
5696178,1989-05-01,2.0,212005,2.0,0.64999998,,212005,PURE ORANGE JUICE-1 LTR CARTON
5696262,1991-04-01,2.0,212005,2.0,0.69,,212005,PURE ORANGE JUICE-1 LTR CARTON
