date,series,value
1997,Spirits,2751.00
1998,Spirits,2741.00
1999,Spirits,2911.00
2000,Spirits,2925.00
2001,Spirits,2925.00
2002,Spirits,2922.00
2003,Spirits,3157.00
2004,Spirits,3079.00
2005,Spirits,3230.00
2006,Spirits,3169.00
2007,Spirits,3346.00
2008,Spirits,3505.00
2009,Spirits,3526.00
2010,Spirits,3739.00
2011,Spirits,4405.00
2012,Spirits,4728.00
2013,Spirits,5246.00
2014,Spirits,5015.00
2015,Spirits,5237.00
2016,Spirits,5263.00
2017,Spirits,5694.00
2018,Spirits,6225.00
2019,Spirits,6230.00
2020,Spirits,7683.00
2021,Spirits,7646.00
2022,Spirits,7070.00
2023,Spirits,7003.00
1997,"Wines, cider and perry",3986.00
1998,"Wines, cider and perry",4207.00
1999,"Wines, cider and perry",4541.00
2000,"Wines, cider and perry",4832.00
2001,"Wines, cider and perry",5037.00
2002,"Wines, cider and perry",5366.00
2003,"Wines, cider and perry",5684.00
2004,"Wines, cider and perry",5877.00
2005,"Wines, cider and perry",6013.00
2006,"Wines, cider and perry",5947.00
2007,"Wines, cider and perry",6416.00
2008,"Wines, cider and perry",6541.00
2009,"Wines, cider and perry",6720.00
2010,"Wines, cider and perry",7047.00
2011,"Wines, cider and perry",7441.00
2012,"Wines, cider and perry",7865.00
2013,"Wines, cider and perry",8573.00
2014,"Wines, cider and perry",8231.00
2015,"Wines, cider and perry",8380.00
2016,"Wines, cider and perry",8442.00
2017,"Wines, cider and perry",9069.00
2018,"Wines, cider and perry",9422.00
2019,"Wines, cider and perry",9445.00
2020,"Wines, cider and perry",11721.00
2021,"Wines, cider and perry",11593.00
2022,"Wines, cider and perry",11129.00
2023,"Wines, cider and perry",11808.00
1997,Beer,2978.00
1998,Beer,3263.00
1999,Beer,3103.00
2000,Beer,3167.00
2001,Beer,3149.00
2002,Beer,3264.00
2003,Beer,3668.00
2004,Beer,3452.00
2005,Beer,3310.00
2006,Beer,3597.00
2007,Beer,3536.00
2008,Beer,3501.00
2009,Beer,4061.00
2010,Beer,3733.00
2011,Beer,4021.00
2012,Beer,4093.00
2013,Beer,4718.00
2014,Beer,4598.00
2015,Beer,4615.00
2016,Beer,4564.00
2017,Beer,5153.00
2018,Beer,5739.00
2019,Beer,5708.00
2020,Beer,7393.00
2021,Beer,7466.00
2022,Beer,6181.00
2023,Beer,6338.00
1997,Tobacco,12471.00
1998,Tobacco,13261.00
1999,Tobacco,14078.00
2000,Tobacco,14139.00
2001,Tobacco,14201.00
2002,Tobacco,14215.00
2003,Tobacco,15342.00
2004,Tobacco,15458.00
2005,Tobacco,15652.00
2006,Tobacco,15509.00
2007,Tobacco,15448.00
2008,Tobacco,16332.00
2009,Tobacco,16905.00
2010,Tobacco,17633.00
2011,Tobacco,18599.00
2012,Tobacco,18967.00
2013,Tobacco,18902.00
2014,Tobacco,19054.00
2015,Tobacco,18151.00
2016,Tobacco,18015.00
2017,Tobacco,18091.00
2018,Tobacco,18546.00
2019,Tobacco,18106.00
2020,Tobacco,19683.00
2021,Tobacco,20173.00
2022,Tobacco,20207.00
2023,Tobacco,21044.00
1997,Narcotics,8360.00
1998,Narcotics,7827.00
1999,Narcotics,7555.00
2000,Narcotics,7578.00
2001,Narcotics,7414.00
2002,Narcotics,6767.00
2003,Narcotics,5586.00
2004,Narcotics,4804.00
2005,Narcotics,5387.00
2006,Narcotics,6881.00
2007,Narcotics,5171.00
2008,Narcotics,5428.00
2009,Narcotics,6783.00
2010,Narcotics,5165.00
2011,Narcotics,7217.00
2012,Narcotics,5764.00
2013,Narcotics,5221.00
2014,Narcotics,4453.00
2015,Narcotics,3355.00
2016,Narcotics,3038.00
2017,Narcotics,4307.00
2018,Narcotics,4077.00
2019,Narcotics,3631.00
2020,Narcotics,2831.00
2021,Narcotics,2776.00
2022,Narcotics,2848.00
2023,Narcotics,2700.00